# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	14335	14613	-	WP_011179984.1	WP_011179984.1		integration host factor subunit beta	ihfB	64156325	PRJBM_RS00070	279	92	
gene	protein_coding	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	14805	15455	+						64156326	PRJBM_RS00075	651		old_locus_tag=PRJBM_00015
CDS	with_protein	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	14805	15455	+	WP_011179985.1	WP_011179985.1		hypothetical protein		64156326	PRJBM_RS00075	651	216	
gene	protein_coding	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	15537	16145	+						64156327	PRJBM_RS00080	609		old_locus_tag=PRJBM_00016
CDS	with_protein	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	15537	16145	+	WP_034447630.1	WP_034447630.1		organic solvent tolerance protein OstA		64156327	PRJBM_RS00080	609	202	
gene	protein_coding	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	16152	16946	+					lptB	64156328	PRJBM_RS00085	795		old_locus_tag=PRJBM_00017
CDS	with_protein	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	16152	16946	+	WP_011179987.1	WP_011179987.1		LPS export ABC transporter ATP-binding protein	lptB	64156328	PRJBM_RS00085	795	264	
gene	protein_coding	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	17164	17355	+						64156329	PRJBM_RS00090	192		old_locus_tag=PRJBM_00018
CDS	with_protein	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	17164	17355	+	WP_034447628.1	WP_034447628.1		hypothetical protein		64156329	PRJBM_RS00090	192	63	
gene	protein_coding	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	18188	18652	+					ptsN	64156330	PRJBM_RS00095	465		old_locus_tag=PRJBM_00019
CDS	with_protein	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	18188	18652	+	WP_011179988.1	WP_011179988.1		PTS IIA-like nitrogen regulatory protein PtsN	ptsN	64156330	PRJBM_RS00095	465	154	
gene	protein_coding	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	19668	20171	+						64156331	PRJBM_RS00100	504		old_locus_tag=PRJBM_00021
CDS	with_protein	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	19668	20171	+	WP_034447689.1	WP_034447689.1		invasion associated locus B family protein		64156331	PRJBM_RS00100	504	167	
gene	protein_coding	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	20212	21438	+					rlmN	64156332	PRJBM_RS00105	1227		old_locus_tag=PRJBM_00022
CDS	with_protein	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	20212	21438	+	WP_011179990.1	WP_011179990.1		23S rRNA (adenine(2503)-C(2))-methyltransferase RlmN	rlmN	64156332	PRJBM_RS00105	1227	408	
gene	protein_coding	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	21443	22081	-						64156333	PRJBM_RS00110	639		old_locus_tag=PRJBM_00023
CDS	with_protein	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	21443	22081	-	WP_011179991.1	WP_011179991.1		LysE family translocator		64156333	PRJBM_RS00110	639	212	
gene	pseudogene	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	23490	23771	+						71696744	PRJBM_RS09270	282		partial;pseudo
CDS	without_protein	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	23490	23771	+				argininosuccinate synthase		71696744	PRJBM_RS09270	282		partial;pseudo
gene	protein_coding	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	24179	25840	+						64156334	PRJBM_RS00120	1662		old_locus_tag=PRJBM_00025
CDS	with_protein	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	24179	25840	+	WP_011179992.1	WP_011179992.1		lysine--tRNA ligase		64156334	PRJBM_RS00120	1662	553	
gene	protein_coding	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	25840	27417	+						64156335	PRJBM_RS00125	1578		old_locus_tag=PRJBM_00026
CDS	with_protein	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	25840	27417	+	WP_011179993.1	WP_011179993.1		peptide chain release factor 3		64156335	PRJBM_RS00125	1578	525	
gene	protein_coding	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	27517	27840	-					trxA	64156336	PRJBM_RS00130	324		old_locus_tag=PRJBM_00027
CDS	with_protein	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	27517	27840	-	WP_011179994.1	WP_011179994.1		thioredoxin	trxA	64156336	PRJBM_RS00130	324	107	
gene	protein_coding	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	27936	31418	-					addA	64156337	PRJBM_RS00135	3483		old_locus_tag=PRJBM_00028
CDS	with_protein	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	27936	31418	-	WP_011179995.1	WP_011179995.1		double-strand break repair helicase AddA	addA	64156337	PRJBM_RS00135	3483	1160	
gene	protein_coding	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	31415	34537	-					addB	64156338	PRJBM_RS00140	3123		old_locus_tag=PRJBM_00029
CDS	with_protein	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	31415	34537	-	WP_011179996.1	WP_011179996.1		double-strand break repair protein AddB	addB	64156338	PRJBM_RS00140	3123	1040	
gene	pseudogene	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	36397	37874	-					tsaE	71696745	PRJBM_RS09275	1478		pseudo
CDS	without_protein	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	36397	37874	-				tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE	tsaE	71696745	PRJBM_RS09275	1478		pseudo
gene	protein_coding	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	37929	40394	-						64156342	PRJBM_RS00160	2466		old_locus_tag=PRJBM_00034
CDS	with_protein	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	37929	40394	-	WP_038486615.1	WP_038486615.1		PAS domain-containing sensor histidine kinase		64156342	PRJBM_RS00160	2466	821	
gene	protein_coding	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	40432	41829	-					ahcY	64156343	PRJBM_RS00165	1398		old_locus_tag=PRJBM_00035
CDS	with_protein	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	40432	41829	-	WP_038486618.1	WP_038486618.1		adenosylhomocysteinase	ahcY	64156343	PRJBM_RS00165	1398	465	
gene	protein_coding	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	43359	44357	-						64156344	PRJBM_RS00170	999		old_locus_tag=PRJBM_00036
CDS	with_protein	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	43359	44357	-	WP_038486621.1	WP_038486621.1		complex I NDUFA9 subunit family protein		64156344	PRJBM_RS00170	999	332	
gene	protein_coding	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	44401	45720	-						64156345	PRJBM_RS00175	1320		old_locus_tag=PRJBM_00037
CDS	with_protein	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	44401	45720	-	WP_038486624.1	WP_038486624.1		bifunctional folylpolyglutamate synthase/dihydrofolate synthase		64156345	PRJBM_RS00175	1320	439	
gene	protein_coding	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	45724	46644	-					accD	64156346	PRJBM_RS00180	921		old_locus_tag=PRJBM_00038
CDS	with_protein	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	45724	46644	-	WP_038486627.1	WP_038486627.1		acetyl-CoA carboxylase, carboxyltransferase subunit beta	accD	64156346	PRJBM_RS00180	921	306	
gene	pseudogene	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	47197	47385	-						71696746	PRJBM_RS09280	189		partial;pseudo
CDS	without_protein	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	47197	47385	-				hypothetical protein		71696746	PRJBM_RS09280	189		partial;pseudo
gene	protein_coding	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	47656	48375	-						64156347	PRJBM_RS00185	720		old_locus_tag=PRJBM_00039
CDS	with_protein	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	47656	48375	-	WP_034454396.1	WP_034454396.1		sulfate transporter family protein		64156347	PRJBM_RS00185	720	239	
gene	protein_coding	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	49509	50921	-					coaBC	64156348	PRJBM_RS00190	1413		old_locus_tag=PRJBM_00040
CDS	with_protein	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	49509	50921	-	WP_038525094.1	WP_038525094.1		bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC	coaBC	64156348	PRJBM_RS00190	1413	470	
gene	protein_coding	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	50992	52578	-					ubiB	64156349	PRJBM_RS00195	1587		old_locus_tag=PRJBM_00041
CDS	with_protein	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	50992	52578	-	WP_011180004.1	WP_011180004.1		2-polyprenylphenol 6-hydroxylase	ubiB	64156349	PRJBM_RS00195	1587	528	
gene	protein_coding	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	52582	53364	-					ubiE	64156350	PRJBM_RS00200	783		old_locus_tag=PRJBM_00042
CDS	with_protein	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	52582	53364	-	WP_011180005.1	WP_011180005.1		bifunctional demethylmenaquinone methyltransferase/2-methoxy-6-polyprenyl-1,4-benzoquinol methylase UbiE	ubiE	64156350	PRJBM_RS00200	783	260	
gene	protein_coding	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	53481	55913	-					gyrB	64156351	PRJBM_RS00205	2433		old_locus_tag=PRJBM_00043
CDS	with_protein	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	53481	55913	-	WP_038525097.1	WP_038525097.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB	64156351	PRJBM_RS00205	2433	810	
gene	protein_coding	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	58698	59567	+						64156352	PRJBM_RS00210	870		old_locus_tag=PRJBM_00044
CDS	with_protein	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	58698	59567	+	WP_011180007.1	WP_011180007.1		transporter substrate-binding domain-containing protein		64156352	PRJBM_RS00210	870	289	
gene	protein_coding	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	59579	61111	-						64156353	PRJBM_RS00215	1533		old_locus_tag=PRJBM_00045
CDS	with_protein	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	59579	61111	-	WP_038486642.1	WP_038486642.1		YifB family Mg chelatase-like AAA ATPase		64156353	PRJBM_RS00215	1533	510	
gene	protein_coding	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	61545	63506	+						64156354	PRJBM_RS00220	1962		old_locus_tag=PRJBM_00046
CDS	with_protein	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	61545	63506	+	WP_038486645.1	WP_038486645.1		autotransporter assembly complex protein TamA		64156354	PRJBM_RS00220	1962	653	
gene	protein_coding	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	63506	68152	+						64156355	PRJBM_RS00225	4647		old_locus_tag=PRJBM_00047
CDS	with_protein	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	63506	68152	+	WP_038486648.1	WP_038486648.1		translocation/assembly module TamB domain-containing protein		64156355	PRJBM_RS00225	4647	1548	
gene	protein_coding	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	70402	72168	-						64156356	PRJBM_RS00230	1767		old_locus_tag=PRJBM_00048
CDS	with_protein	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	70402	72168	-	WP_038525099.1	WP_038525099.1		ABC transporter ATP-binding protein/permease		64156356	PRJBM_RS00230	1767	588	
gene	protein_coding	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	72392	72910	-					infC	64156357	PRJBM_RS00235	519		old_locus_tag=PRJBM_00049
CDS	with_protein	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	72392	72910	-	WP_011180012.1	WP_011180012.1		translation initiation factor IF-3	infC	64156357	PRJBM_RS00235	519	172	
gene	protein_coding	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	73104	73883	+						64156358	PRJBM_RS00240	780		old_locus_tag=PRJBM_00050
CDS	with_protein	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	73104	73883	+	WP_011180013.1	WP_011180013.1		alpha/beta hydrolase		64156358	PRJBM_RS00240	780	259	
gene	protein_coding	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	73920	74666	+						64156359	PRJBM_RS00245	747		old_locus_tag=PRJBM_00051
CDS	with_protein	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	73920	74666	+	WP_011180014.1	WP_011180014.1		M48 family metallopeptidase		64156359	PRJBM_RS00245	747	248	
gene	protein_coding	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	74889	76061	+					dapE	64156360	PRJBM_RS00250	1173		old_locus_tag=PRJBM_00052
CDS	with_protein	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	74889	76061	+	WP_038525101.1	WP_038525101.1		succinyl-diaminopimelate desuccinylase	dapE	64156360	PRJBM_RS00250	1173	390	
gene	protein_coding	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	76259	77458	-					hemW	64156361	PRJBM_RS00255	1200		old_locus_tag=PRJBM_00054
CDS	with_protein	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	76259	77458	-	WP_034447601.1	WP_034447601.1		radical SAM family heme chaperone HemW	hemW	64156361	PRJBM_RS00255	1200	399	
gene	protein_coding	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	77455	78102	-					rdgB	64156362	PRJBM_RS00260	648		old_locus_tag=PRJBM_00055
CDS	with_protein	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	77455	78102	-	WP_011180017.1	WP_011180017.1		RdgB/HAM1 family non-canonical purine NTP pyrophosphatase	rdgB	64156362	PRJBM_RS00260	648	215	
gene	protein_coding	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	78413	79483	+					hrcA	64156363	PRJBM_RS00265	1071		old_locus_tag=PRJBM_00056
CDS	with_protein	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	78413	79483	+	WP_011180018.1	WP_011180018.1		heat-inducible transcriptional repressor HrcA	hrcA	64156363	PRJBM_RS00265	1071	356	
gene	protein_coding	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	79619	80281	+					grpE	64156364	PRJBM_RS00270	663		old_locus_tag=PRJBM_00057
CDS	with_protein	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	79619	80281	+	WP_034447598.1	WP_034447598.1		nucleotide exchange factor GrpE	grpE	64156364	PRJBM_RS00270	663	220	
gene	protein_coding	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	80394	80933	-					thpR	64156365	PRJBM_RS00275	540		old_locus_tag=PRJBM_00058
CDS	with_protein	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	80394	80933	-	WP_011180020.1	WP_011180020.1		RNA 2',3'-cyclic phosphodiesterase	thpR	64156365	PRJBM_RS00275	540	179	
gene	protein_coding	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	81527	81826	-						64156366	PRJBM_RS00280	300		old_locus_tag=PRJBM_00059
CDS	with_protein	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	81527	81826	-	WP_034447596.1	WP_034447596.1		HPr family phosphocarrier protein		64156366	PRJBM_RS00280	300	99	
gene	protein_coding	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	81842	82240	-						64156367	PRJBM_RS00285	399		old_locus_tag=PRJBM_00060
CDS	with_protein	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	81842	82240	-	WP_011180022.1	WP_011180022.1		PTS sugar transporter subunit IIA		64156367	PRJBM_RS00285	399	132	
gene	protein_coding	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	82368	82832	-						64156368	PRJBM_RS00290	465		old_locus_tag=PRJBM_00061
CDS	with_protein	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	82368	82832	-	WP_011180023.1	WP_011180023.1		HPr kinase/phosphatase C-terminal domain-containing protein		64156368	PRJBM_RS00290	465	154	
gene	protein_coding	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	82856	84640	-						64156369	PRJBM_RS00295	1785		old_locus_tag=PRJBM_00062
CDS	with_protein	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	82856	84640	-	WP_011180024.1	WP_011180024.1		sensor histidine kinase		64156369	PRJBM_RS00295	1785	594	
gene	protein_coding	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	84680	85402	-						64156370	PRJBM_RS00300	723		old_locus_tag=PRJBM_00063
CDS	with_protein	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	84680	85402	-	WP_011180025.1	WP_011180025.1		response regulator transcription factor		64156370	PRJBM_RS00300	723	240	
gene	protein_coding	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	85843	86298	+					lysM	64156371	PRJBM_RS00305	456		old_locus_tag=PRJBM_00064
CDS	with_protein	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	85843	86298	+	WP_011180026.1	WP_011180026.1		peptidoglycan-binding protein LysM	lysM	64156371	PRJBM_RS00305	456	151	
gene	protein_coding	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	86427	86987	-						64156372	PRJBM_RS00310	561		old_locus_tag=PRJBM_00065
CDS	with_protein	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	86427	86987	-	WP_011180027.1	WP_011180027.1		copper chaperone PCu(A)C		64156372	PRJBM_RS00310	561	186	
gene	protein_coding	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	87847	89739	+					dnaK	64156373	PRJBM_RS00315	1893		old_locus_tag=PRJBM_00066
CDS	with_protein	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	87847	89739	+	WP_011180028.1	WP_011180028.1		molecular chaperone DnaK	dnaK	64156373	PRJBM_RS00315	1893	630	
gene	protein_coding	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	89895	91043	+					dnaJ	64156374	PRJBM_RS00320	1149		old_locus_tag=PRJBM_00067
CDS	with_protein	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	89895	91043	+	WP_223396412.1	WP_223396412.1		molecular chaperone DnaJ	dnaJ	64156374	PRJBM_RS00320	1149	382	
gene	protein_coding	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	94185	95090	+					argB	64156375	PRJBM_RS00330	906		old_locus_tag=PRJBM_00068
CDS	with_protein	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	94185	95090	+	WP_011180030.1	WP_011180030.1		acetylglutamate kinase	argB	64156375	PRJBM_RS00330	906	301	
gene	protein_coding	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	95125	96033	+						64156376	PRJBM_RS00335	909		old_locus_tag=PRJBM_00069
CDS	with_protein	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	95125	96033	+	WP_034447589.1	WP_034447589.1		DMT family transporter		64156376	PRJBM_RS00335	909	302	
gene	protein_coding	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	96611	98416	+					lepA	64156377	PRJBM_RS00340	1806		old_locus_tag=PRJBM_00070
CDS	with_protein	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	96611	98416	+	WP_011180032.1	WP_011180032.1		translation elongation factor 4	lepA	64156377	PRJBM_RS00340	1806	601	
gene	protein_coding	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	98492	99340	-					dapD	64156378	PRJBM_RS00345	849		old_locus_tag=PRJBM_00071
CDS	with_protein	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	98492	99340	-	WP_011180033.1	WP_011180033.1		2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase	dapD	64156378	PRJBM_RS00345	849	282	
gene	protein_coding	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	99448	100311	+						64156379	PRJBM_RS00350	864		old_locus_tag=PRJBM_00072
CDS	with_protein	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	99448	100311	+	WP_011180034.1	WP_011180034.1		LOG family protein		64156379	PRJBM_RS00350	864	287	
gene	protein_coding	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	100344	101087	-					truA	64156380	PRJBM_RS00355	744		old_locus_tag=PRJBM_00073
CDS	with_protein	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	100344	101087	-	WP_011180035.1	WP_011180035.1		tRNA pseudouridine(38-40) synthase TruA	truA	64156380	PRJBM_RS00355	744	247	
gene	protein_coding	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	101089	102024	-					fmt	64156381	PRJBM_RS00360	936		old_locus_tag=PRJBM_00074
