# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	13100	13699	+	WP_026501177.1	WP_026501177.1		organic solvent tolerance protein OstA			BARCL_RS00085	600	199	
gene	protein_coding	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	13706	14500	+					lptB		BARCL_RS00090	795		old_locus_tag=BARCL_0017
CDS	with_protein	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	13706	14500	+	WP_013544381.1	WP_013544381.1		LPS export ABC transporter ATP-binding protein	lptB		BARCL_RS00090	795	264	
gene	pseudogene	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	14819	16342	-							BARCL_RS00095	1524		pseudo
CDS	without_protein	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	14819	16342	-				GTP-binding protein			BARCL_RS00095	1524		pseudo
gene	protein_coding	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	16332	17999	-							BARCL_RS00100	1668		old_locus_tag=BARCL_0024
CDS	with_protein	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	16332	17999	-	WP_026501178.1	WP_026501178.1		lysine--tRNA ligase			BARCL_RS00100	1668	555	
gene	protein_coding	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	18380	19603	-							BARCL_RS00105	1224		old_locus_tag=BARCL_0025
CDS	with_protein	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	18380	19603	-	WP_013544384.1	WP_013544384.1		argininosuccinate synthase			BARCL_RS00105	1224	407	
gene	protein_coding	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	19787	20425	+							BARCL_RS00110	639		old_locus_tag=BARCL_0027
CDS	with_protein	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	19787	20425	+	WP_013544386.1	WP_013544386.1		LysE family translocator			BARCL_RS00110	639	212	
gene	protein_coding	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	20422	21657	-					rlmN		BARCL_RS00115	1236		old_locus_tag=BARCL_0028
CDS	with_protein	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	20422	21657	-	WP_013544387.1	WP_013544387.1		23S rRNA (adenine(2503)-C(2))-methyltransferase RlmN	rlmN		BARCL_RS00115	1236	411	
gene	protein_coding	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	21698	22201	-							BARCL_RS00120	504		old_locus_tag=BARCL_0029
CDS	with_protein	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	21698	22201	-	WP_013544388.1	WP_013544388.1		invasion associated locus B family protein			BARCL_RS00120	504	167	
gene	pseudogene	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	23011	23472	-							BARCL_RS00125	462		pseudo
CDS	without_protein	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	23011	23472	-				PTS sugar transporter subunit IIA			BARCL_RS00125	462		pseudo
gene	protein_coding	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	24143	24466	-					trxA		BARCL_RS00130	324		old_locus_tag=BARCL_0033
CDS	with_protein	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	24143	24466	-	WP_013544392.1	WP_013544392.1		thioredoxin TrxA	trxA		BARCL_RS00130	324	107	
gene	protein_coding	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	24565	28023	-					addA		BARCL_RS00135	3459		old_locus_tag=BARCL_0034
CDS	with_protein	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	24565	28023	-	WP_013544393.1	WP_013544393.1		double-strand break repair helicase AddA	addA		BARCL_RS00135	3459	1152	
gene	protein_coding	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	28020	31142	-					addB		BARCL_RS00140	3123		old_locus_tag=BARCL_0035
CDS	with_protein	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	28020	31142	-	WP_013544394.1	WP_013544394.1		double-strand break repair protein AddB	addB		BARCL_RS00140	3123	1040	
gene	protein_coding	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	31340	32860	-							BARCL_RS00145	1521		old_locus_tag=BARCL_0036
CDS	with_protein	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	31340	32860	-	WP_013544395.1	WP_013544395.1		bifunctional tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE/phosphotransferase			BARCL_RS00145	1521	506	
gene	protein_coding	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	32915	35110	-							BARCL_RS00150	2196		old_locus_tag=BARCL_0037
CDS	with_protein	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	32915	35110	-	WP_244392208.1	WP_244392208.1		PAS-domain containing protein			BARCL_RS00150	2196	731	
gene	protein_coding	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	35405	36784	-							BARCL_RS00155	1380		old_locus_tag=BARCL_0038
CDS	with_protein	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	35405	36784	-	WP_013544397.1	WP_013544397.1		adenosylhomocysteinase			BARCL_RS00155	1380	459	
gene	protein_coding	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	37119	38117	-							BARCL_RS00160	999		old_locus_tag=BARCL_0039
CDS	with_protein	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	37119	38117	-	WP_013544398.1	WP_013544398.1		complex I NDUFA9 subunit family protein			BARCL_RS00160	999	332	
gene	protein_coding	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	38160	39479	-							BARCL_RS00165	1320		old_locus_tag=BARCL_0040
CDS	with_protein	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	38160	39479	-	WP_026501180.1	WP_026501180.1		bifunctional folylpolyglutamate synthase/dihydrofolate synthase			BARCL_RS00165	1320	439	
gene	protein_coding	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	39498	40403	-					accD		BARCL_RS00170	906		old_locus_tag=BARCL_0041
CDS	with_protein	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	39498	40403	-	WP_013544400.1	WP_013544400.1		acetyl-CoA carboxylase, carboxyltransferase subunit beta	accD		BARCL_RS00170	906	301	
gene	protein_coding	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	40928	41641	-							BARCL_RS00175	714		old_locus_tag=BARCL_0042
CDS	with_protein	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	40928	41641	-	WP_013544401.1	WP_013544401.1		sulfate transporter family protein			BARCL_RS00175	714	237	
gene	protein_coding	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	41772	43172	-					coaBC		BARCL_RS00180	1401		old_locus_tag=BARCL_0043
CDS	with_protein	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	41772	43172	-	WP_026501181.1	WP_026501181.1		bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC	coaBC		BARCL_RS00180	1401	466	
gene	protein_coding	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	43255	44841	-					ubiB		BARCL_RS00185	1587		old_locus_tag=BARCL_0044
CDS	with_protein	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	43255	44841	-	WP_013544403.1	WP_013544403.1		2-polyprenylphenol 6-hydroxylase	ubiB		BARCL_RS00185	1587	528	
gene	protein_coding	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	44845	45627	-					ubiE		BARCL_RS00190	783		old_locus_tag=BARCL_0045
CDS	with_protein	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	44845	45627	-	WP_013544404.1	WP_013544404.1		bifunctional demethylmenaquinone methyltransferase/2-methoxy-6-polyprenyl-1,4-benzoquinol methylase UbiE	ubiE		BARCL_RS00190	783	260	
gene	protein_coding	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	45749	48178	-					gyrB		BARCL_RS00195	2430		old_locus_tag=BARCL_0046
CDS	with_protein	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	45749	48178	-	WP_013544405.1	WP_013544405.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB		BARCL_RS00195	2430	809	
gene	protein_coding	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	48934	49749	+							BARCL_RS00200	816		old_locus_tag=BARCL_0047
CDS	with_protein	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	48934	49749	+	WP_244392211.1	WP_244392211.1		transporter substrate-binding domain-containing protein			BARCL_RS00200	816	271	
gene	protein_coding	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	49761	51293	-							BARCL_RS00205	1533		old_locus_tag=BARCL_0048
CDS	with_protein	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	49761	51293	-	WP_013544407.1	WP_013544407.1		YifB family Mg chelatase-like AAA ATPase			BARCL_RS00205	1533	510	
gene	protein_coding	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	51758	53698	+							BARCL_RS00210	1941		old_locus_tag=BARCL_0049
CDS	with_protein	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	51758	53698	+	WP_013544408.1	WP_013544408.1		autotransporter assembly complex protein TamA			BARCL_RS00210	1941	646	
gene	protein_coding	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	53698	58341	+							BARCL_RS00215	4644		old_locus_tag=BARCL_0050
CDS	with_protein	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	53698	58341	+	WP_026501183.1	WP_026501183.1		translocation/assembly module TamB domain-containing protein			BARCL_RS00215	4644	1547	
gene	protein_coding	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	58382	60148	-							BARCL_RS00220	1767		old_locus_tag=BARCL_0051
CDS	with_protein	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	58382	60148	-	WP_013544410.1	WP_013544410.1		ABC transporter ATP-binding protein/permease			BARCL_RS00220	1767	588	
gene	protein_coding	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	60331	60849	-					infC		BARCL_RS00225	519		old_locus_tag=BARCL_0052
CDS	with_protein	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	60331	60849	-	WP_026501184.1	WP_026501184.1		translation initiation factor IF-3	infC		BARCL_RS00225	519	172	
gene	protein_coding	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	61050	61829	+							BARCL_RS00230	780		old_locus_tag=BARCL_0053
CDS	with_protein	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	61050	61829	+	WP_013544412.1	WP_013544412.1		alpha/beta hydrolase			BARCL_RS00230	780	259	
gene	protein_coding	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	61864	62592	+							BARCL_RS00235	729		old_locus_tag=BARCL_0054
CDS	with_protein	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	61864	62592	+	WP_013544413.1	WP_013544413.1		M48 family metallopeptidase			BARCL_RS00235	729	242	
gene	protein_coding	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	62782	63948	+					dapE		BARCL_RS00240	1167		old_locus_tag=BARCL_0055
CDS	with_protein	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	62782	63948	+	WP_013544414.1	WP_013544414.1		succinyl-diaminopimelate desuccinylase	dapE		BARCL_RS00240	1167	388	
gene	protein_coding	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	63999	65198	-					hemW		BARCL_RS00245	1200		old_locus_tag=BARCL_0056
CDS	with_protein	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	63999	65198	-	WP_013544415.1	WP_013544415.1		radical SAM family heme chaperone HemW	hemW		BARCL_RS00245	1200	399	
gene	protein_coding	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	65195	65842	-					rdgB		BARCL_RS00250	648		old_locus_tag=BARCL_0057
CDS	with_protein	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	65195	65842	-	WP_013544416.1	WP_013544416.1		RdgB/HAM1 family non-canonical purine NTP pyrophosphatase	rdgB		BARCL_RS00250	648	215	
gene	protein_coding	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	66346	67416	+					hrcA		BARCL_RS00255	1071		old_locus_tag=BARCL_0058
CDS	with_protein	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	66346	67416	+	WP_026501185.1	WP_026501185.1		heat-inducible transcriptional repressor HrcA	hrcA		BARCL_RS00255	1071	356	
gene	protein_coding	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	67537	68199	+					grpE		BARCL_RS00260	663		old_locus_tag=BARCL_0059
CDS	with_protein	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	67537	68199	+	WP_013544418.1	WP_013544418.1		nucleotide exchange factor GrpE	grpE		BARCL_RS00260	663	220	
gene	protein_coding	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	69099	70811	-							BARCL_RS00265	1713		old_locus_tag=BARCL_0060
CDS	with_protein	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	69099	70811	-	WP_244392240.1	WP_244392240.1		sensor histidine kinase			BARCL_RS00265	1713	570	
gene	protein_coding	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	70911	71633	-							BARCL_RS00270	723		old_locus_tag=BARCL_0061
CDS	with_protein	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	70911	71633	-	WP_013544420.1	WP_013544420.1		response regulator transcription factor			BARCL_RS00270	723	240	
gene	protein_coding	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	72315	72857	-							BARCL_RS00275	543		old_locus_tag=BARCL_0063
CDS	with_protein	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	72315	72857	-	WP_026501186.1	WP_026501186.1		copper chaperone PCu(A)C			BARCL_RS00275	543	180	
gene	protein_coding	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	73775	75664	+					dnaK		BARCL_RS00280	1890		old_locus_tag=BARCL_0065
CDS	with_protein	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	73775	75664	+	WP_013544424.1	WP_013544424.1		molecular chaperone DnaK	dnaK		BARCL_RS00280	1890	629	
gene	protein_coding	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	75818	76948	+					dnaJ		BARCL_RS00285	1131		old_locus_tag=BARCL_0066
CDS	with_protein	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	75818	76948	+	WP_244392214.1	WP_244392214.1		molecular chaperone DnaJ	dnaJ		BARCL_RS00285	1131	376	
gene	protein_coding	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	77189	78094	+					argB		BARCL_RS00290	906		old_locus_tag=BARCL_0067
CDS	with_protein	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	77189	78094	+	WP_013544426.1	WP_013544426.1		acetylglutamate kinase	argB		BARCL_RS00290	906	301	
gene	protein_coding	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	78128	79021	+							BARCL_RS00295	894		old_locus_tag=BARCL_0068
CDS	with_protein	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	78128	79021	+	WP_026501187.1	WP_026501187.1		DMT family transporter			BARCL_RS00295	894	297	
gene	protein_coding	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	79220	80896	-							BARCL_RS00300	1677		old_locus_tag=BARCL_0069
CDS	with_protein	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	79220	80896	-	WP_013544428.1	WP_013544428.1		BID domain-containing T4SS effector			BARCL_RS00300	1677	558	
gene	pseudogene	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	80934	81273	-							BARCL_RS00305	340		partial;pseudo;old_locus_tag=BARCL_0071
CDS	without_protein	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	80934	81273	-				P-type DNA transfer ATPase VirB11			BARCL_RS00305	340		partial;pseudo
gene	protein_coding	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	81270	82550	-					virB10		BARCL_RS00310	1281		old_locus_tag=BARCL_0072
CDS	with_protein	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	81270	82550	-	WP_013544429.1	WP_013544429.1		type IV secretion system protein VirB10	virB10		BARCL_RS00310	1281	426	
gene	protein_coding	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	82547	83407	-					virB9		BARCL_RS00315	861		old_locus_tag=BARCL_0073
CDS	with_protein	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	82547	83407	-	WP_013544430.1	WP_013544430.1		P-type conjugative transfer protein VirB9	virB9		BARCL_RS00315	861	286	
gene	protein_coding	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	83404	84072	-							BARCL_RS00320	669		old_locus_tag=BARCL_0074
CDS	with_protein	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	83404	84072	-	WP_026501035.1	WP_026501035.1		VirB8/TrbF family protein			BARCL_RS00320	669	222	
gene	protein_coding	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	84062	84388	-							BARCL_RS00325	327		old_locus_tag=BARCL_0075
CDS	with_protein	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	84062	84388	-	WP_013544432.1	WP_013544432.1		hypothetical protein			BARCL_RS00325	327	108	
gene	protein_coding	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	84578	85570	-							BARCL_RS00335	993		old_locus_tag=BARCL_0076
CDS	with_protein	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	84578	85570	-	WP_013544433.1	WP_013544433.1		type IV secretion system protein			BARCL_RS00335	993	330	
gene	protein_coding	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	85576	86010	-							BARCL_RS00340	435		old_locus_tag=BARCL_0077
CDS	with_protein	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	85576	86010	-	WP_026501037.1	WP_026501037.1		hypothetical protein			BARCL_RS00340	435	144	
gene	protein_coding	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	86007	88361	-							BARCL_RS00345	2355		old_locus_tag=BARCL_0078
CDS	with_protein	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	86007	88361	-	WP_013544435.1	WP_013544435.1		VirB4 family type IV secretion/conjugal transfer ATPase			BARCL_RS00345	2355	784	
gene	protein_coding	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	88371	88679	-							BARCL_RS00350	309		old_locus_tag=BARCL_0079
CDS	with_protein	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	88371	88679	-	WP_013544436.1	WP_013544436.1		type IV secretion system protein VirB3			BARCL_RS00350	309	102	
gene	protein_coding	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	88680	89030	-							BARCL_RS00355	351		old_locus_tag=BARCL_0080
CDS	with_protein	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	88680	89030	-	WP_013544437.1	WP_013544437.1		TrbC/VirB2 family protein			BARCL_RS00355	351	116	
gene	protein_coding	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	89808	90656	+					dapD		BARCL_RS00360	849		old_locus_tag=BARCL_0081
CDS	with_protein	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	89808	90656	+	WP_013544438.1	WP_013544438.1		2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase	dapD		BARCL_RS00360	849	282	
gene	protein_coding	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	90707	92512	-					lepA		BARCL_RS00365	1806		old_locus_tag=BARCL_0082
CDS	with_protein	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	90707	92512	-	WP_026501046.1	WP_026501046.1		translation elongation factor 4	lepA		BARCL_RS00365	1806	601	
gene	protein_coding	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	92917	93660	-					truA		BARCL_RS00370	744		old_locus_tag=BARCL_0083
CDS	with_protein	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	92917	93660	-	WP_013544440.1	WP_013544440.1		tRNA pseudouridine(38-40) synthase TruA	truA		BARCL_RS00370	744	247	
gene	protein_coding	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	93662	94591	-					fmt		BARCL_RS00375	930		old_locus_tag=BARCL_0084
CDS	with_protein	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	93662	94591	-	WP_013544441.1	WP_013544441.1		methionyl-tRNA formyltransferase	fmt		BARCL_RS00375	930	309	
gene	protein_coding	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	94606	95121	-					def		BARCL_RS00380	516		old_locus_tag=BARCL_0085
CDS	with_protein	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	94606	95121	-	WP_013544442.1	WP_013544442.1		peptide deformylase	def		BARCL_RS00380	516	171	
gene	protein_coding	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	95229	96422	+					rmuC		BARCL_RS00385	1194		old_locus_tag=BARCL_0086
CDS	with_protein	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	95229	96422	+	WP_026501047.1	WP_026501047.1		DNA recombination protein RmuC	rmuC		BARCL_RS00385	1194	397	
gene	protein_coding	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	96525	97112	+							BARCL_RS00390	588		old_locus_tag=BARCL_0087
CDS	with_protein	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	96525	97112	+	WP_026501048.1	WP_026501048.1		membrane protein			BARCL_RS00390	588	195	
gene	protein_coding	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	97343	97594	-							BARCL_RS00395	252		old_locus_tag=BARCL_0088
CDS	with_protein	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	97343	97594	-	WP_013544445.1	WP_013544445.1		DUF1150 family protein			BARCL_RS00395	252	83	
gene	protein_coding	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	98055	98801	+					nth		BARCL_RS00400	747		old_locus_tag=BARCL_0089
CDS	with_protein	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	98055	98801	+	WP_013544446.1	WP_013544446.1		endonuclease III	nth		BARCL_RS00400	747	248	
gene	protein_coding	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	98944	99147	+					rpmI		BARCL_RS00405	204		old_locus_tag=BARCL_0090
CDS	with_protein	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	98944	99147	+	WP_013544447.1	WP_013544447.1		50S ribosomal protein L35	rpmI		BARCL_RS00405	204	67	
