# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	9870	10724	-							BTR_RS00145	855		old_locus_tag=BT_0011,Btr_0011
CDS	with_protein	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	9870	10724	-	WP_012230265.1	WP_012230265.1		RNA methyltransferase			BTR_RS00145	855	284	
gene	protein_coding	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	10727	11659	-							BTR_RS00150	933		old_locus_tag=BT_0012,Btr_0012
CDS	with_protein	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	10727	11659	-	WP_038474399.1	WP_038474399.1		class I SAM-dependent methyltransferase			BTR_RS00150	933	310	
gene	protein_coding	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	11831	12127	-							BTR_RS00155	297		old_locus_tag=BT_0013,Btr_0013
CDS	with_protein	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	11831	12127	-	WP_012230269.1	WP_012230269.1		LapA family protein			BTR_RS00155	297	98	
gene	protein_coding	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	12135	12413	-					ihfB		BTR_RS00160	279		old_locus_tag=BT_0014,Btr_0014
CDS	with_protein	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	12135	12413	-	WP_012230270.1	WP_012230270.1		integration host factor subunit beta	ihfB		BTR_RS00160	279	92	
gene	protein_coding	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	12599	13246	+					lptC		BTR_RS00165	648		old_locus_tag=BT_0015,Btr_0015
CDS	with_protein	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	12599	13246	+	WP_012230275.1	WP_012230275.1		LPS export ABC transporter periplasmic protein LptC	lptC		BTR_RS00165	648	215	
gene	protein_coding	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	13322	13921	+							BTR_RS00170	600		old_locus_tag=BT_0016,Btr_0016
CDS	with_protein	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	13322	13921	+	WP_171815225.1	WP_171815225.1		LPS ABC transporter substrate-binding protein LptA			BTR_RS00170	600	199	
gene	protein_coding	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	13928	14722	+					lptB		BTR_RS00175	795		old_locus_tag=BT_0017,Btr_0017
CDS	with_protein	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	13928	14722	+	WP_012230280.1	WP_012230280.1		LPS export ABC transporter ATP-binding protein	lptB		BTR_RS00175	795	264	
gene	protein_coding	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	15907	16371	+					ptsN		BTR_RS00180	465		old_locus_tag=BT_0018,Btr_0018
CDS	with_protein	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	15907	16371	+	WP_012230282.1	WP_012230282.1		PTS IIA-like nitrogen regulatory protein PtsN	ptsN		BTR_RS00180	465	154	
gene	protein_coding	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	17777	18280	+							BTR_RS00185	504		old_locus_tag=BT_0019,Btr_0019
CDS	with_protein	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	17777	18280	+	WP_038474405.1	WP_038474405.1		invasion associated locus B family protein			BTR_RS00185	504	167	
gene	protein_coding	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	18323	19549	+					rlmN		BTR_RS00190	1227		old_locus_tag=BT_0020,Btr_0020
CDS	with_protein	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	18323	19549	+	WP_012230287.1	WP_012230287.1		23S rRNA (adenine(2503)-C(2))-methyltransferase RlmN	rlmN		BTR_RS00190	1227	408	
gene	protein_coding	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	20277	20918	-							BTR_RS00195	642		old_locus_tag=BT_0021,Btr_0021
CDS	with_protein	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	20277	20918	-	WP_012230294.1	WP_012230294.1		LysE family translocator			BTR_RS00195	642	213	
gene	protein_coding	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	21085	22320	+							BTR_RS00200	1236		old_locus_tag=BT_0022,Btr_0022
CDS	with_protein	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	21085	22320	+	WP_012230295.1	WP_012230295.1		argininosuccinate synthase			BTR_RS00200	1236	411	
gene	protein_coding	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	22695	24353	+							BTR_RS00205	1659		old_locus_tag=BT_0023,Btr_0023
CDS	with_protein	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	22695	24353	+	WP_012230297.1	WP_012230297.1		lysine--tRNA ligase			BTR_RS00205	1659	552	
gene	protein_coding	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	24353	25927	+							BTR_RS00210	1575		old_locus_tag=BT_0024,Btr_0024
CDS	with_protein	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	24353	25927	+	WP_012230299.1	WP_012230299.1		peptide chain release factor 3			BTR_RS00210	1575	524	
gene	protein_coding	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	26386	29511	+					addB		BTR_RS00215	3126		old_locus_tag=BT_0025,Btr_0025
CDS	with_protein	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	26386	29511	+	WP_012230301.1	WP_012230301.1		double-strand break repair protein AddB	addB		BTR_RS00215	3126	1041	
gene	protein_coding	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	29514	32987	+					addA		BTR_RS00220	3474		old_locus_tag=BT_0026,Btr_0026
CDS	with_protein	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	29514	32987	+	WP_012230303.1	WP_012230303.1		double-strand break repair helicase AddA	addA		BTR_RS00220	3474	1157	
gene	protein_coding	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	33164	33487	+					trxA		BTR_RS00225	324		old_locus_tag=BT_0027,Btr_0027
CDS	with_protein	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	33164	33487	+	WP_012230305.1	WP_012230305.1		thioredoxin	trxA		BTR_RS00225	324	107	
gene	protein_coding	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	34247	34714	-							BTR_RS00230	468		old_locus_tag=BT_0030,Btr_0030
CDS	with_protein	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	34247	34714	-	WP_012230311.1	WP_012230311.1		bifunctional alanine racemase/tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE			BTR_RS00230	468	155	
gene	protein_coding	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	34759	37224	-							BTR_RS00235	2466		old_locus_tag=BT_0031,Btr_0031
CDS	with_protein	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	34759	37224	-	WP_012230313.1	WP_012230313.1		PAS-domain containing protein			BTR_RS00235	2466	821	
gene	protein_coding	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	37260	38657	-					ahcY		BTR_RS00240	1398		old_locus_tag=BT_0032,Btr_0032
CDS	with_protein	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	37260	38657	-	WP_012230315.1	WP_012230315.1		adenosylhomocysteinase	ahcY		BTR_RS00240	1398	465	
gene	protein_coding	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	39377	40375	-							BTR_RS00245	999		old_locus_tag=BT_0033,Btr_0033
CDS	with_protein	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	39377	40375	-	WP_012230317.1	WP_012230317.1		complex I NDUFA9 subunit family protein			BTR_RS00245	999	332	
gene	protein_coding	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	40419	41738	-							BTR_RS00250	1320		old_locus_tag=BT_0034,Btr_0034
CDS	with_protein	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	40419	41738	-	WP_012230318.1	WP_012230318.1		bifunctional folylpolyglutamate synthase/dihydrofolate synthase			BTR_RS00250	1320	439	
gene	protein_coding	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	41743	42663	-					accD		BTR_RS00255	921		old_locus_tag=BT_0035,Btr_0035
CDS	with_protein	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	41743	42663	-	WP_012230319.1	WP_012230319.1		acetyl-CoA carboxylase, carboxyltransferase subunit beta	accD		BTR_RS00255	921	306	
gene	protein_coding	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	43661	44380	-							BTR_RS00260	720		old_locus_tag=BT_0036,Btr_0036
CDS	with_protein	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	43661	44380	-	WP_012230320.1	WP_012230320.1		sulfate transporter family protein			BTR_RS00260	720	239	
gene	protein_coding	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	45954	47378	-					coaBC		BTR_RS00270	1425		old_locus_tag=BT_0038,Btr_0038
CDS	with_protein	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	45954	47378	-	WP_012230324.1	WP_012230324.1		bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC	coaBC		BTR_RS00270	1425	474	
gene	protein_coding	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	47447	49033	-					ubiB		BTR_RS00275	1587		old_locus_tag=BT_0039,Btr_0039
CDS	with_protein	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	47447	49033	-	WP_012230326.1	WP_012230326.1		2-polyprenylphenol 6-hydroxylase	ubiB		BTR_RS00275	1587	528	
gene	protein_coding	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	49036	49818	-					ubiE		BTR_RS00280	783		old_locus_tag=BT_0040,Btr_0040
CDS	with_protein	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	49036	49818	-	WP_012230327.1	WP_012230327.1		bifunctional demethylmenaquinone methyltransferase/2-methoxy-6-polyprenyl-1,4-benzoquinol methylase UbiE	ubiE		BTR_RS00280	783	260	
gene	protein_coding	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	49939	52389	-					gyrB		BTR_RS00285	2451		old_locus_tag=BT_0041,Btr_0041
CDS	with_protein	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	49939	52389	-	WP_012230336.1	WP_012230336.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB		BTR_RS00285	2451	816	
gene	protein_coding	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	53436	54350	+							BTR_RS00290	915		old_locus_tag=BT_0042,Btr_0042
CDS	with_protein	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	53436	54350	+	WP_244393481.1	WP_244393481.1		transporter substrate-binding domain-containing protein			BTR_RS00290	915	304	
gene	protein_coding	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	54362	55894	-							BTR_RS00295	1533		old_locus_tag=BT_0043,Btr_0043
CDS	with_protein	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	54362	55894	-	WP_012230338.1	WP_012230338.1		YifB family Mg chelatase-like AAA ATPase			BTR_RS00295	1533	510	
gene	protein_coding	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	56299	58263	+							BTR_RS00300	1965		old_locus_tag=BT_0044,Btr_0044
CDS	with_protein	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	56299	58263	+	WP_012230339.1	WP_012230339.1		autotransporter assembly complex protein TamA			BTR_RS00300	1965	654	
gene	protein_coding	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	58263	62915	+							BTR_RS00305	4653		old_locus_tag=BT_0045,Btr_0045
CDS	with_protein	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	58263	62915	+	WP_012230340.1	WP_012230340.1		translocation/assembly module TamB domain-containing protein			BTR_RS00305	4653	1550	
gene	protein_coding	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	65182	66948	-							BTR_RS00310	1767		old_locus_tag=BT_0046,Btr_0046
CDS	with_protein	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	65182	66948	-	WP_012230341.1	WP_012230341.1		ABC transporter ATP-binding protein/permease			BTR_RS00310	1767	588	
gene	protein_coding	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	67709	67855	-							BTR_RS12860	147		
CDS	with_protein	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	67709	67855	-	WP_158305288.1	WP_158305288.1		hypothetical protein			BTR_RS12860	147	48	
gene	protein_coding	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	68456	68974	-					infC		BTR_RS00315	519		old_locus_tag=BT_0048,Btr_0048
CDS	with_protein	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	68456	68974	-	WP_012230344.1	WP_012230344.1		translation initiation factor IF-3	infC		BTR_RS00315	519	172	
gene	protein_coding	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	69168	69947	+							BTR_RS00320	780		old_locus_tag=BT_0049,Btr_0049
CDS	with_protein	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	69168	69947	+	WP_012230347.1	WP_012230347.1		alpha/beta hydrolase			BTR_RS00320	780	259	
gene	protein_coding	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	69980	70720	+							BTR_RS00325	741		old_locus_tag=BT_0050,Btr_0050
CDS	with_protein	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	69980	70720	+	WP_012230349.1	WP_012230349.1		M48 family metallopeptidase			BTR_RS00325	741	246	
gene	protein_coding	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	70950	72122	+					dapE		BTR_RS00330	1173		old_locus_tag=BT_0051,Btr_0051
CDS	with_protein	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	70950	72122	+	WP_012230350.1	WP_012230350.1		succinyl-diaminopimelate desuccinylase	dapE		BTR_RS00330	1173	390	
gene	protein_coding	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	72983	74182	-					hemW		BTR_RS00335	1200		old_locus_tag=BT_0052,Btr_0052
CDS	with_protein	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	72983	74182	-	WP_012230351.1	WP_012230351.1		radical SAM family heme chaperone HemW	hemW		BTR_RS00335	1200	399	
gene	protein_coding	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	74179	74826	-					rdgB		BTR_RS00340	648		old_locus_tag=BT_0053,Btr_0053
CDS	with_protein	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	74179	74826	-	WP_012230352.1	WP_012230352.1		RdgB/HAM1 family non-canonical purine NTP pyrophosphatase	rdgB		BTR_RS00340	648	215	
gene	protein_coding	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	75318	76388	+					hrcA		BTR_RS00350	1071		old_locus_tag=BT_0055,Btr_0055
CDS	with_protein	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	75318	76388	+	WP_012230353.1	WP_012230353.1		heat-inducible transcriptional repressor HrcA	hrcA		BTR_RS00350	1071	356	
gene	protein_coding	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	76514	77182	+					grpE		BTR_RS00355	669		old_locus_tag=BT_0056,Btr_0056
CDS	with_protein	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	76514	77182	+	WP_012230354.1	WP_012230354.1		nucleotide exchange factor GrpE	grpE		BTR_RS00355	669	222	
gene	protein_coding	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	77277	77816	-					thpR		BTR_RS00360	540		old_locus_tag=BT_0057,Btr_0057
CDS	with_protein	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	77277	77816	-	WP_012230360.1	WP_012230360.1		RNA 2',3'-cyclic phosphodiesterase	thpR		BTR_RS00360	540	179	
gene	protein_coding	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	78399	78692	-							BTR_RS00365	294		old_locus_tag=BT_0058,Btr_0058
CDS	with_protein	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	78399	78692	-	WP_012230362.1	WP_012230362.1		HPr family phosphocarrier protein			BTR_RS00365	294	97	
gene	protein_coding	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	78710	79108	-							BTR_RS00370	399		old_locus_tag=BT_0059,Btr_0059
CDS	with_protein	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	78710	79108	-	WP_012230363.1	WP_012230363.1		PTS sugar transporter subunit IIA			BTR_RS00370	399	132	
gene	protein_coding	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	79244	79708	-							BTR_RS00375	465		old_locus_tag=BT_0060,Btr_0060
CDS	with_protein	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	79244	79708	-	WP_012230364.1	WP_012230364.1		HPr kinase/phosphatase C-terminal domain-containing protein			BTR_RS00375	465	154	
gene	protein_coding	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	79732	81516	-							BTR_RS00380	1785		old_locus_tag=BT_0061,Btr_0061
CDS	with_protein	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	79732	81516	-	WP_012230365.1	WP_012230365.1		sensor histidine kinase			BTR_RS00380	1785	594	
gene	protein_coding	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	81556	82278	-							BTR_RS00385	723		old_locus_tag=BT_0062,Btr_0062
CDS	with_protein	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	81556	82278	-	WP_012230366.1	WP_012230366.1		response regulator transcription factor			BTR_RS00385	723	240	
gene	protein_coding	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	82666	83121	+					lysM		BTR_RS00390	456		old_locus_tag=BT_0063,Btr_0063
CDS	with_protein	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	82666	83121	+	WP_012230371.1	WP_012230371.1		peptidoglycan-binding protein LysM	lysM		BTR_RS00390	456	151	
gene	protein_coding	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	83237	83791	-							BTR_RS00395	555		old_locus_tag=BT_0064,Btr_0064
CDS	with_protein	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	83237	83791	-	WP_012230373.1	WP_012230373.1		copper chaperone PCu(A)C			BTR_RS00395	555	184	
gene	protein_coding	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	84784	86676	+					dnaK		BTR_RS00400	1893		old_locus_tag=BT_0065,Btr_0065
CDS	with_protein	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	84784	86676	+	WP_012230375.1	WP_012230375.1		molecular chaperone DnaK	dnaK		BTR_RS00400	1893	630	
gene	protein_coding	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	86835	87977	+					dnaJ		BTR_RS00405	1143		old_locus_tag=BT_0066,Btr_0066
CDS	with_protein	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	86835	87977	+	WP_012230377.1	WP_012230377.1		molecular chaperone DnaJ	dnaJ		BTR_RS00405	1143	380	
gene	protein_coding	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	89435	90340	+					argB		BTR_RS00410	906		old_locus_tag=BT_0069,Btr_0069
CDS	with_protein	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	89435	90340	+	WP_012230379.1	WP_012230379.1		acetylglutamate kinase	argB		BTR_RS00410	906	301	
gene	protein_coding	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	90373	91266	+							BTR_RS00415	894		old_locus_tag=BT_0070,Btr_0070
CDS	with_protein	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	90373	91266	+	WP_012230381.1	WP_012230381.1		DMT family transporter			BTR_RS00415	894	297	
gene	protein_coding	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	92705	94510	+					lepA		BTR_RS00425	1806		old_locus_tag=BT_0074,Btr_0074
CDS	with_protein	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	92705	94510	+	WP_038474408.1	WP_038474408.1		translation elongation factor 4	lepA		BTR_RS00425	1806	601	
gene	protein_coding	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	95085	95945	-					dapD		BTR_RS00430	861		old_locus_tag=BT_0075,Btr_0075
CDS	with_protein	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	95085	95945	-	WP_012230384.1	WP_012230384.1		2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase	dapD		BTR_RS00430	861	286	
gene	protein_coding	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	96052	96915	+							BTR_RS00435	864		old_locus_tag=BT_0076,Btr_0076
CDS	with_protein	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	96052	96915	+	WP_041582671.1	WP_041582671.1		LOG family protein			BTR_RS00435	864	287	
gene	protein_coding	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	96948	97691	-					truA		BTR_RS00440	744		old_locus_tag=BT_0077,Btr_0077
CDS	with_protein	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	96948	97691	-	WP_012230389.1	WP_012230389.1		tRNA pseudouridine(38-40) synthase TruA	truA		BTR_RS00440	744	247	
gene	protein_coding	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	97693	98622	-					fmt		BTR_RS00445	930		old_locus_tag=BT_0078,Btr_0078
CDS	with_protein	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	97693	98622	-	WP_012230390.1	WP_012230390.1		methionyl-tRNA formyltransferase	fmt		BTR_RS00445	930	309	
gene	protein_coding	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	98622	99158	-					def		BTR_RS00450	537		old_locus_tag=BT_0079,Btr_0079
CDS	with_protein	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	98622	99158	-	WP_012230394.1	WP_012230394.1		peptide deformylase	def		BTR_RS00450	537	178	
gene	protein_coding	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	99250	100431	+					rmuC		BTR_RS00455	1182		old_locus_tag=BT_0080,Btr_0080
CDS	with_protein	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	99250	100431	+	WP_012230396.1	WP_012230396.1		DNA recombination protein RmuC	rmuC		BTR_RS00455	1182	393	
gene	protein_coding	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	100545	101132	+							BTR_RS00460	588		old_locus_tag=BT_0081,Btr_0081
CDS	with_protein	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	100545	101132	+	WP_012230398.1	WP_012230398.1		membrane protein			BTR_RS00460	588	195	
gene	tRNA	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	102505	102580	-							BTR_RS00465	76		old_locus_tag=BT_t0001,tRNA-Btr_0001
tRNA		GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	102505	102580	-				tRNA-Ala			BTR_RS00465	76		anticodon=GGC
gene	protein_coding	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	102690	103070	-							BTR_RS00470	381		old_locus_tag=BT_0082,Btr_0082
CDS	with_protein	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	102690	103070	-	WP_012230400.1	WP_012230400.1		TIGR02300 family protein			BTR_RS00470	381	126	
gene	protein_coding	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	103247	104575	+					aroA		BTR_RS00475	1329		old_locus_tag=BT_0084,Btr_0084
CDS	with_protein	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	103247	104575	+	WP_012230402.1	WP_012230402.1		3-phosphoshikimate 1-carboxyvinyltransferase	aroA		BTR_RS00475	1329	442	
gene	protein_coding	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	104572	105219	+					cmk		BTR_RS00480	648		old_locus_tag=BT_0085,Btr_0085
CDS	with_protein	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	104572	105219	+	WP_012230404.1	WP_012230404.1		(d)CMP kinase	cmk		BTR_RS00480	648	215	
gene	protein_coding	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	105354	107054	+					rpsA		BTR_RS00485	1701		old_locus_tag=BT_0086,Btr_0086
CDS	with_protein	GCF_000196435.1	Primary Assembly	chromosome		NC_010161.1	105354	107054	+	WP_012230405.1	WP_012230405.1		30S ribosomal protein S1	rpsA		BTR_RS00485	1701	566	
